Sl No.,Time,FES102_pH,AL_VSP1_GCB1B_SCB_102-pH - (pH) Raw,SCRUBBER_SCB_103_GCB1C-pH - (pH) Raw,SCB_301-pH - (pH) Raw,SCB_302-pH - (pH) Raw,SCB_303-pH - (pH) Raw,LL_VSP1_OCB_SCB_304-pH - (pH) Raw,LL_VSP1_GCB2_SCB_501-pH - (pH) Raw,LL_VSP1_GCB3_SCB_502-pH - (pH) Raw,LL_VSP1_GCB4_SCB_601-pH - (pH) Raw,SCB_604-pH - (pH) Raw,SCB_605-pH - (pH) Raw,SCB_606-pH - (pH) Raw,LL_VSP1_GCB7_SCB_901-pH - (pH) Raw,LL_VSP1_RM_SCB_105-pH - (pH) Raw,LL_VSP1_EHS_SCB_106-pH - (pH) Raw,LL_VSP1_EHS_SCB_107-pH - (pH) Raw,Ammonia_Scrubber-pH - (pH) Raw,LL_VSP1_RM_SCB_104-pH - (pH) Raw,FES_101_RM-pH - (pH) Raw,Ambient_VOC,AQMS2_VOC,Year,Month,Day,Date,Average_pH,Max_pH,Min_pH,pH_Range,pH_Change,Primary_VOC,VOC_Change,VOC_Rolling_7,VOC_STD_7,pH_Rolling_7,VOC_Rate,Stability_Index,Day_Name,Month_Name,pH_Status,VOC_Status
129,2026-05-09,9.5,7.41,8.83,10.66,7.58,11.34,9.51,12.97,9.69,8.24,7.21,10.13,10.93,11.65,10.75,9.79,9.68,9.8,10.82,,0.0,0.37,2026,5,9,2026-05-09,9.815263157894737,12.97,7.21,5.760000000000001,0.10105263157894662,0.37,0.03999999999999998,0.35714285714285715,0.06499084184567495,9.70218045112782,12.12121212121211,98.98947368421054,Saturday,May,Normal,Low
130,2026-05-10,9.5,7.42,8.83,10.63,8.09,10.89,9.51,12.78,9.69,8.24,7.21,10.13,10.93,11.66,10.75,10.13,9.69,9.8,10.8,,0.0,0.39,2026,5,10,2026-05-10,9.825263157894737,12.78,7.21,5.569999999999999,0.009999999999999787,0.39,0.020000000000000018,0.3742857142857143,0.05287001130355575,9.702631578947367,5.405405405405417,99.9,Sunday,May,Normal,Low
131,2026-05-11,9.5,7.42,8.83,10.64,8.19,10.71,9.51,12.68,9.69,8.23,7.21,10.13,10.93,11.68,10.75,10.13,9.69,9.8,10.73,,0.0,0.41,2026,5,11,2026-05-11,9.813157894736843,12.68,7.21,5.47,-0.01210526315789373,0.41,0.019999999999999962,0.38285714285714284,0.05313952882562607,9.708421052631579,5.12820512820511,99.87894736842107,Monday,May,Normal,Low
132,2026-05-12,9.5,7.42,8.83,10.66,8.0,10.85,9.51,10.14,9.69,8.25,7.21,10.11,10.93,11.67,10.75,10.13,9.68,9.8,10.79,,0.0,0.45,2026,5,12,2026-05-12,9.680000000000001,11.67,7.21,4.46,-0.1331578947368417,0.45,0.040000000000000036,0.40285714285714286,0.047157284949512865,9.726315789473686,9.756097560975618,98.66842105263159,Tuesday,May,Normal,Low
133,2026-05-13,9.5,7.42,8.83,10.67,7.82,11.0,9.51,7.62,9.69,8.25,7.21,10.09,10.92,11.67,10.75,10.13,9.68,9.8,10.78,,0.0,0.24,2026,5,13,2026-05-13,9.544210526315789,11.67,7.21,4.46,-0.13578947368421268,0.24,-0.21000000000000002,0.38,0.07767453465154044,9.729924812030077,-46.666666666666664,98.64210526315787,Wednesday,May,Normal,Low
134,2026-05-14,9.5,7.43,8.82,10.73,7.94,11.0,9.51,12.44,9.69,8.25,7.21,10.1,10.92,11.67,10.75,10.11,9.68,9.8,10.76,,0.0,0.32,2026,5,14,2026-05-14,9.80578947368421,12.44,7.21,5.2299999999999995,0.261578947368422,0.32,0.08000000000000002,0.3585714285714286,0.06890296835129138,9.742556390977443,33.33333333333335,97.38421052631578,Thursday,May,Normal,Low
135,2026-05-15,9.5,7.42,8.81,10.71,7.82,11.09,9.51,12.14,9.69,8.26,7.21,10.09,10.92,11.67,10.74,9.83,9.68,9.8,10.76,,0.0,0.2,2026,5,15,2026-05-15,9.771052631578948,12.14,7.21,4.930000000000001,-0.03473684210526251,0.2,-0.12,0.34,0.09165151389911684,9.750676691729323,-37.5,99.65263157894738,Friday,May,Normal,Low
136,2026-05-16,9.5,7.42,8.81,10.5,7.86,11.08,9.51,11.7,9.69,8.26,7.21,10.07,10.9,11.67,10.74,9.7,9.68,9.8,10.76,,0.0,0.29,2026,5,16,2026-05-16,9.729473684210527,11.7,7.21,4.489999999999999,-0.04157894736842138,0.29,0.08999999999999997,0.32857142857142857,0.09227288721117227,9.73842105263158,44.99999999999997,99.58421052631579,Saturday,May,Normal,Low
137,2026-05-17,9.5,7.43,8.81,10.11,7.81,11.2,9.51,12.95,9.69,8.26,7.21,10.07,10.89,11.67,10.74,9.53,9.68,9.8,11.55,,0.0,0.28,2026,5,17,2026-05-17,9.81105263157895,12.95,7.21,5.739999999999999,0.0815789473684223,0.28,-0.009999999999999953,0.31285714285714283,0.08938946353165003,9.736390977443609,-3.44827586206895,99.18421052631578,Sunday,May,Normal,Low
138,2026-05-18,9.5,7.43,8.81,9.96,7.68,10.74,9.51,12.59,9.69,8.27,7.21,10.08,10.83,11.66,10.73,9.69,9.69,9.8,12.79,,0.0,0.29,2026,5,18,2026-05-18,9.82421052631579,12.79,7.21,5.579999999999999,0.013157894736840703,0.29,0.009999999999999953,0.2957142857142857,0.07849780100044051,9.737969924812031,3.5714285714285587,99.86842105263159,Monday,May,Normal,Low
139,2026-05-19,9.5,7.43,8.81,11.71,7.86,10.11,9.51,11.79,9.69,8.27,7.21,10.05,10.9,11.66,10.73,9.49,9.68,9.8,12.59,,0.0,0.27,2026,5,19,2026-05-19,9.83105263157895,12.59,7.21,5.38,0.006842105263160647,0.27,-0.019999999999999962,0.27,0.0391578004149023,9.759548872180451,-6.896551724137923,99.9315789473684,Tuesday,May,Normal,Low
140,2026-05-20,9.5,7.43,8.81,12.6,8.04,10.15,9.51,11.7,9.69,8.27,7.21,10.0,10.9,11.66,10.73,9.66,9.68,9.8,12.45,,0.0,0.31,2026,5,20,2026-05-20,9.883684210526317,12.6,7.21,5.39,0.052631578947366364,0.31,0.03999999999999998,0.27999999999999997,0.039157800414902355,9.808045112781956,14.814814814814813,99.47368421052633,Wednesday,May,Normal,Low
141,2026-05-21,9.5,7.43,8.81,11.77,7.86,11.3,9.51,11.7,9.69,8.27,7.48,9.8,10.82,11.66,10.75,9.41,9.68,9.8,12.34,,0.0,0.34,2026,5,21,2026-05-21,9.872631578947368,12.34,7.43,4.91,-0.011052631578948535,0.34,0.030000000000000027,0.28285714285714286,0.043094580368566685,9.817593984962405,9.677419354838722,99.88947368421051,Thursday,May,Normal,Low
142,2026-05-22,9.5,7.44,8.81,11.35,7.66,11.59,9.51,11.7,9.69,8.27,7.21,9.38,10.89,11.66,10.9,9.07,9.63,9.8,12.18,,0.0,0.25,2026,5,22,2026-05-22,9.802105263157895,12.18,7.21,4.97,-0.07052631578947377,0.25,-0.09000000000000002,0.29000000000000004,0.02886751345948128,9.822030075187971,-26.470588235294123,99.29473684210527,Friday,May,Normal,Low
143,2026-05-23,9.5,7.44,8.81,11.13,7.63,10.41,9.51,11.7,9.69,8.28,7.21,9.53,10.9,11.68,10.99,9.68,9.43,9.8,12.16,,0.0,0.19,2026,5,23,2026-05-23,9.762105263157896,12.16,7.21,4.95,-0.03999999999999915,0.19,-0.06,0.27571428571428575,0.047559486560567,9.82669172932331,-24.0,99.60000000000001,Saturday,May,Normal,Low
144,2026-05-24,9.5,7.44,8.81,11.0,7.54,8.09,9.51,11.68,9.69,8.28,7.21,9.45,10.89,11.68,10.88,10.13,9.43,9.8,12.08,,0.0,0.35,2026,5,24,2026-05-24,9.636315789473686,12.08,7.21,4.87,-0.12578947368420934,0.35,0.15999999999999998,0.2857142857142857,0.055334480768366834,9.80172932330827,84.21052631578947,98.74210526315791,Sunday,May,Normal,Low
145,2026-05-25,9.5,7.44,8.81,10.94,7.37,9.06,9.51,11.64,9.69,8.28,7.21,9.37,11.0,11.68,10.85,10.13,9.47,9.8,12.04,,0.0,0.36,2026,5,25,2026-05-25,9.673157894736843,12.04,7.21,4.829999999999999,0.036842105263156455,0.36,0.010000000000000009,0.2957142857142857,0.062144225491229395,9.78015037593985,2.857142857142869,99.63157894736844,Monday,May,Normal,Low
146,2026-05-26,9.5,7.44,8.82,10.86,7.21,8.49,9.51,11.62,9.69,8.28,7.21,9.27,11.1,11.67,10.87,10.12,9.53,9.8,11.99,9.65,0.0,0.3,2026,5,26,2026-05-26,9.6315,11.99,7.21,4.78,-0.04165789473684178,0.3,-0.06,0.3,0.06110100926607792,9.751642857142858,-16.666666666666664,99.58342105263158,Tuesday,May,Normal,Low
147,2026-05-27,9.5,7.45,8.82,10.84,7.25,7.33,9.51,11.64,9.69,8.28,7.21,9.68,11.09,11.68,10.76,9.69,9.37,9.8,11.98,9.65,0.0,0.41,2026,5,27,2026-05-27,9.561,11.98,7.21,4.7700000000000005,-0.0705000000000009,0.41,0.10999999999999999,0.3142857142857142,0.0741298731635102,9.705545112781957,36.66666666666667,99.29499999999999,Wednesday,May,Normal,Low
148,2026-05-28,9.5,7.45,8.81,10.83,7.57,8.53,9.51,11.67,9.69,8.29,7.21,9.44,11.04,11.68,10.79,9.09,9.25,9.8,11.9,8.8,0.0,2.01,2026,5,28,2026-05-28,9.5425,11.9,7.21,4.69,-0.018499999999999517,2.01,1.5999999999999999,0.5528571428571428,0.646702257243478,9.658383458646616,390.2439024390244,99.815,Thursday,May,Normal,Normal
149,2026-05-29,9.5,7.45,8.81,10.82,7.51,11.0,9.51,11.61,9.69,8.28,7.21,9.24,11.01,11.68,10.72,9.6,9.4,9.8,11.83,3.06,0.0,0.31,2026,5,29,2026-05-29,9.386500000000002,11.83,3.06,8.77,-0.1559999999999988,0.31,-1.6999999999999997,0.5614285714285714,0.6424024847250768,9.59901127819549,-84.57711442786069,98.44000000000001,Friday,May,Low,Low
150,2026-05-30,9.5,7.46,8.82,10.84,7.53,11.35,9.51,11.07,9.69,8.27,7.21,8.61,11.01,11.67,10.71,9.72,9.54,9.8,11.7,1.36,0.0,0.3,2026,5,30,2026-05-30,9.2685,11.7,1.36,10.34,-0.1180000000000021,0.3,-0.010000000000000009,0.5771428571428572,0.6330801498945267,9.528496240601504,-3.2258064516129115,98.81999999999998,Saturday,May,Low,Low
151,2026-05-31,9.5,7.46,8.82,10.85,7.44,10.8,9.51,10.17,9.69,8.28,7.21,8.27,12.03,11.67,10.71,9.22,9.57,9.8,11.7,4.57,0.0,0.29,2026,5,31,2026-05-31,9.363499999999998,12.03,4.57,7.459999999999999,0.09499999999999886,0.29,-0.010000000000000009,0.5685714285714285,0.6370617074095878,9.489522556390979,-3.3333333333333326,99.05000000000001,Sunday,May,Low,Low
152,2026-06-01,9.5,7.46,8.81,10.89,7.4,10.51,9.51,10.54,9.69,8.28,7.21,8.33,13.02,11.67,10.71,9.05,9.48,9.8,11.58,8.11,0.0,0.29,2026,6,1,2026-06-01,9.5775,13.02,7.21,5.81,0.2140000000000022,0.29,0.0,0.5585714285714285,0.6414158446080716,9.475857142857143,0.0,97.85999999999999,Monday,June,Normal,Low
153,2026-06-02,9.5,7.47,8.81,10.89,7.45,10.87,9.51,10.68,9.69,8.27,7.21,8.23,13.14,11.68,10.73,9.54,9.46,9.8,11.66,7.15,0.0,0.3,2026,6,2,2026-06-02,9.587,13.14,7.15,5.99,0.009499999999999176,0.3,0.010000000000000009,0.5585714285714285,0.6414158446080716,9.4695,3.4482758620689724,99.905,Tuesday,June,Normal,Low
154,2026-06-03,9.5,7.47,8.81,10.9,7.34,10.73,9.51,10.55,9.69,8.25,7.21,8.19,12.94,11.68,10.72,10.11,9.54,9.8,11.66,9.74,0.0,0.27,2026,6,3,2026-06-03,9.717,12.94,7.21,5.7299999999999995,0.13000000000000078,0.27,-0.02999999999999997,0.5385714285714285,0.6489588731557795,9.491785714285713,-9.999999999999986,98.69999999999999,Wednesday,June,Normal,Low
155,2026-06-04,9.5,7.47,8.81,10.91,7.36,10.56,9.51,10.3,9.69,8.26,7.21,7.69,12.79,11.68,10.71,10.13,9.54,9.8,11.63,9.66,0.0,0.24,2026,6,4,2026-06-04,9.660499999999999,12.79,7.21,5.579999999999999,-0.05650000000000155,0.24,-0.030000000000000027,0.2857142857142857,0.023704530408863576,9.508642857142856,-11.111111111111116,99.43499999999999,Thursday,June,Normal,Low
156,2026-06-05,9.5,7.47,8.81,10.96,7.47,10.38,9.51,10.35,9.69,8.26,7.21,7.77,12.49,11.67,10.69,10.13,9.66,9.8,11.61,9.61,0.0,0.24,2026,6,5,2026-06-05,9.652000000000001,12.49,7.21,5.28,-0.008499999999997954,0.24,0.0,0.2757142857142857,0.026367367999822464,9.546571428571427,0.0,99.91500000000002,Friday,June,Normal,Low
157,2026-06-06,9.5,7.47,8.81,11.0,7.24,10.31,9.51,10.48,9.69,8.26,7.21,7.83,12.08,11.67,10.69,10.13,9.65,9.8,12.13,9.64,0.0,0.24,2026,6,6,2026-06-06,9.655000000000001,12.13,7.21,4.920000000000001,0.0030000000000001137,0.24,0.0,0.2671428571428571,0.026903708365381196,9.601785714285713,0.0,99.97,Saturday,June,Normal,Low
158,2026-06-07,9.5,7.47,8.81,11.03,7.22,10.34,9.51,10.68,9.69,8.26,7.21,8.12,12.27,11.67,10.69,10.12,9.66,9.8,12.49,9.62,0.0,0.24,2026,6,7,2026-06-07,9.708000000000002,12.49,7.21,5.28,0.053000000000000824,0.24,0.0,0.26,0.026457513110645,9.651,0.0,99.47,Sunday,June,Normal,Low
159,2026-06-08,9.5,7.47,8.81,11.09,7.48,10.39,9.51,10.37,9.69,8.25,7.21,8.1,13.02,11.66,10.67,9.32,9.63,9.8,12.49,9.63,0.0,0.22,2026,6,8,2026-06-08,9.7045,13.02,7.21,5.81,-0.003500000000002501,0.22,-0.01999999999999999,0.25,0.026457513110644836,9.669142857142857,-8.333333333333325,99.96499999999997,Monday,June,Normal,Low
160,2026-06-09,9.5,7.48,8.81,11.12,7.59,10.46,9.51,11.9,9.69,8.25,7.21,8.12,12.94,11.66,10.68,9.67,9.67,9.8,12.43,9.64,0.0,0.32,2026,6,9,2026-06-09,9.8065,12.94,7.21,5.7299999999999995,0.10200000000000031,0.32,0.1,0.25285714285714284,0.033022358947781674,9.7005,45.45454545454546,98.97999999999999,Tuesday,June,Normal,Low
161,2026-06-10,9.5,7.48,8.81,11.13,7.95,10.64,9.51,13.89,9.69,8.23,7.21,7.77,12.91,11.66,10.69,9.51,9.57,9.8,12.23,9.64,0.0,0.31,2026,6,10,2026-06-10,9.891,13.89,7.21,6.680000000000001,0.08450000000000024,0.31,-0.010000000000000009,0.25857142857142856,0.039339789623471524,9.725357142857144,-3.125,99.155,Wednesday,June,Normal,Low
162,2026-06-11,9.5,7.48,8.81,11.15,8.0,10.71,9.51,13.89,9.69,8.27,7.21,7.86,12.95,11.67,10.69,9.58,9.55,9.8,12.06,9.65,0.0,0.32,2026,6,11,2026-06-11,9.901500000000002,13.89,7.21,6.680000000000001,0.010500000000002174,0.32,0.010000000000000009,0.26999999999999996,0.04434711565216644,9.759785714285714,3.2258064516129004,99.89499999999998,Thursday,June,Normal,Low
163,2026-06-12,9.5,7.48,8.81,11.19,7.75,10.94,9.51,13.76,9.69,8.28,7.21,8.02,12.87,11.66,10.69,9.44,9.42,9.8,12.04,9.63,0.0,0.36,2026,6,12,2026-06-12,9.8845,13.76,7.21,6.55,-0.017000000000003013,0.36,0.03999999999999998,0.2871428571428571,0.053139528825625615,9.793000000000001,12.5,99.82999999999997,Friday,June,Normal,Low
164,2026-06-13,9.5,7.48,8.81,11.24,7.54,11.14,9.51,13.72,9.69,8.29,7.21,7.81,11.48,11.66,10.69,9.34,9.5,9.8,11.94,9.64,0.0,0.29,2026,6,13,2026-06-13,9.7995,13.72,7.21,6.510000000000001,-0.08499999999999908,0.29,-0.07,0.2942857142857143,0.04894116973712492,9.813642857142856,-19.444444444444443,99.15,Saturday,June,Normal,Low
165,2026-06-14,9.5,7.48,8.81,11.28,7.78,10.86,9.51,13.72,9.69,8.28,7.21,8.23,10.44,11.66,10.68,9.13,9.52,9.8,11.76,9.7,0.0,0.29,2026,6,14,2026-06-14,9.751999999999999,13.72,7.21,6.510000000000001,-0.04750000000000121,0.29,0.0,0.30142857142857143,0.04298393941484459,9.819928571428573,0.0,99.52499999999999,Sunday,June,Normal,Low
166,2026-06-15,9.5,7.49,8.81,11.33,7.86,10.48,9.51,13.67,9.69,8.29,7.21,8.33,10.57,11.66,10.68,9.14,9.67,9.8,11.68,9.63,0.0,0.31,2026,6,15,2026-06-15,9.75,13.67,7.21,6.46,-0.0019999999999988916,0.31,0.020000000000000018,0.3142857142857142,0.023704530408863955,9.82642857142857,6.896551724137945,99.98000000000002,Monday,June,Normal,Low
167,2026-06-16,9.5,7.49,8.81,11.38,7.73,10.36,9.51,13.6,9.69,8.29,7.21,8.06,12.9,11.64,10.68,9.74,9.58,9.8,11.6,9.61,0.0,0.24,2026,6,16,2026-06-16,9.859,13.6,7.21,6.39,0.10899999999999999,0.24,-0.07,0.3028571428571429,0.03638419332360562,9.833928571428572,-22.580645161290324,98.91,Tuesday,June,Normal,Low
168,2026-06-17,9.5,7.49,8.81,11.42,7.72,10.29,9.51,13.51,9.69,8.3,7.21,7.89,12.72,11.63,10.69,10.15,9.38,9.8,11.57,9.57,0.0,0.21,2026,6,17,2026-06-17,9.8425,13.51,7.21,6.3,-0.016500000000000625,0.21,-0.03,0.2885714285714286,0.050142653642240395,9.827,-12.5,99.835,Wednesday,June,Normal,Low
169,2026-06-18,9.5,7.49,8.8,11.48,7.62,10.64,9.51,13.08,9.69,8.3,7.21,8.0,12.32,11.67,10.71,9.82,9.04,9.8,11.57,9.63,0.0,0.36,2026,6,18,2026-06-18,9.794,13.08,7.21,5.87,-0.04849999999999888,0.36,0.15,0.2942857142857143,0.056230816834763636,9.811642857142857,71.42857142857142,99.51500000000001,Thursday,June,Normal,Low
170,2026-06-19,9.5,7.49,8.81,11.51,7.41,10.83,9.51,12.77,9.69,7.92,7.21,8.11,11.21,11.67,10.7,9.78,9.16,9.8,11.49,9.65,0.0,0.26,2026,6,19,2026-06-19,9.711000000000002,12.77,7.21,5.56,-0.08299999999999841,0.26,-0.09999999999999998,0.27999999999999997,0.04898979485566318,9.786857142857142,-27.777777777777768,99.17000000000002,Friday,June,Normal,Low
171,2026-06-20,9.5,7.49,8.81,11.43,7.31,10.68,9.51,12.62,9.69,8.32,7.21,8.09,12.32,11.66,10.68,10.15,9.23,9.8,11.49,9.66,0.0,0.24,2026,6,20,2026-06-20,9.782499999999999,12.62,7.21,5.409999999999999,0.07149999999999679,0.24,-0.020000000000000018,0.27285714285714285,0.05089672082242772,9.784428571428572,-7.692307692307699,99.28500000000003,Saturday,June,Normal,Low
172,2026-06-21,9.5,7.49,8.8,11.53,7.28,10.49,9.51,11.62,9.69,8.31,7.21,8.09,13.09,11.65,10.73,10.15,9.01,9.8,11.51,9.66,0.0,0.3,2026,6,21,2026-06-21,9.755999999999998,13.09,7.21,5.88,-0.026500000000000412,0.3,0.06,0.2742857142857143,0.05159365040297808,9.785,25.0,99.735,Sunday,June,Normal,Low
173,2026-06-22,9.5,7.49,8.82,11.52,7.12,10.74,9.51,11.32,9.69,8.3,7.21,8.13,12.6,11.68,10.68,10.15,8.74,9.8,12.26,9.72,0.0,0.28,2026,6,22,2026-06-22,9.748999999999999,12.6,7.12,5.4799999999999995,-0.006999999999999673,0.28,-0.019999999999999962,0.26999999999999996,0.04932882862316202,9.784857142857144,-6.666666666666654,99.93,Monday,June,Normal,Low
174,2026-06-23,9.5,7.49,8.81,11.56,6.97,10.83,9.51,11.22,9.69,8.3,7.21,7.86,13.39,11.68,10.69,10.15,8.74,9.8,12.54,9.8,0.0,0.37,2026,6,23,2026-06-23,9.787,13.39,6.97,6.420000000000001,0.03800000000000203,0.37,0.08999999999999997,0.2885714285714286,0.05956189257922398,9.774571428571429,32.14285714285714,99.61999999999998,Tuesday,June,Normal,Low
175,2026-06-24,9.5,7.5,8.82,11.57,6.82,10.76,9.51,11.19,9.69,8.3,7.21,7.92,13.29,11.69,10.68,10.15,8.74,9.8,12.5,9.8,0.0,0.27,2026,6,24,2026-06-24,9.772000000000002,13.29,6.82,6.469999999999999,-0.014999999999998792,0.27,-0.09999999999999998,0.29714285714285715,0.04990467102863383,9.7645,-27.027027027027017,99.85000000000001,Wednesday,June,Normal,Low
176,2026-06-25,9.5,7.5,8.84,11.72,6.73,11.2,9.51,11.11,9.69,8.3,7.21,7.84,12.9,11.68,10.67,10.15,8.74,9.8,12.49,9.8,0.0,0.33,2026,6,25,2026-06-25,9.769000000000002,12.9,6.73,6.17,-0.0030000000000001137,0.33,0.06,0.29285714285714287,0.04461475305855858,9.760928571428574,22.22222222222221,99.97,Thursday,June,Normal,Low
177,2026-06-26,9.5,7.51,8.83,11.8,6.86,11.38,9.51,11.14,9.69,8.28,7.21,7.71,12.85,11.67,10.67,10.15,8.74,9.8,12.54,9.8,0.0,0.24,2026,6,26,2026-06-26,9.782,12.85,6.86,5.989999999999999,0.012999999999998124,0.24,-0.09000000000000002,0.29,0.04760952285695202,9.771071428571428,-27.27272727272728,99.87000000000002,Friday,June,Normal,Low
178,2026-06-27,9.5,7.47,8.83,11.68,6.8,11.16,9.51,11.19,9.69,8.3,7.21,7.86,12.99,11.68,10.68,10.15,8.74,9.8,12.49,9.8,0.0,0.34,2026,6,27,2026-06-27,9.776500000000002,12.99,6.8,6.19,-0.00549999999999784,0.34,0.10000000000000003,0.3042857142857143,0.045039665058383936,9.770214285714287,41.66666666666667,99.94500000000002,Saturday,June,Normal,Low
179,2026-06-28,9.5,7.5,8.81,11.58,6.69,11.08,9.51,11.09,9.69,8.29,7.21,7.67,13.01,11.7,10.71,10.15,8.74,9.8,12.51,9.8,0.0,0.24,2026,6,28,2026-06-28,9.752,13.01,6.69,6.319999999999999,-0.02450000000000152,0.24,-0.10000000000000003,0.29571428571428576,0.051269595556932224,9.769642857142857,-29.41176470588236,99.75499999999998,Sunday,June,Normal,Low
180,2026-06-29,9.5,7.51,8.81,11.51,6.57,11.02,9.51,11.1,9.69,8.3,7.21,8.07,13.22,11.68,10.7,10.15,8.74,9.8,12.53,9.8,0.0,0.44,2026,6,29,2026-06-29,9.771,13.22,6.57,6.65,0.019000000000000128,0.44,0.2,0.31857142857142856,0.07380798769522877,9.772785714285716,83.33333333333334,99.81,Monday,June,Normal,Low
181,2026-06-30,9.5,7.52,8.81,11.5,6.54,10.55,9.51,11.1,9.69,8.3,7.21,8.27,13.28,11.68,10.7,10.15,8.74,9.8,12.5,9.8,0.0,0.47,2026,6,30,2026-06-30,9.757500000000002,13.28,6.54,6.739999999999999,-0.013499999999998735,0.47,0.02999999999999997,0.33285714285714285,0.09268482179125229,9.76857142857143,6.818181818181812,99.86500000000001,Tuesday,June,Normal,Low
